,Company name,Ticker,Date of Breach,Date Became Aware of Breach,Date of Disclosure,Number of Records,Information,Stock Price (0 months DoD),Stock Price (1 months DoD),Stock Price (2 months DoD),Stock Price (3 months DoD),Stock Price (4 months DoD),Stock Price (5 months DoD),Stock Price (6 months DoD),Stock Price (7 months DoD),Stock Price (8 months DoD),Stock Price (9 months DoD),Stock Price (10 months DoD),Stock Price (11 months DoD),Stock Price (12 months DoD),median stock forecast,mean stock forecast,count stock forecast,Financial (Type of Info),Intrusion (Type of Info),ND (Type of Info),Other (Type of Info),Personal (Type of Info),Exploit (Attack),Forged Cookies (Attack),Malware (Attack),Misconfiguration (Attack),ND (Attack),Phishing (Attack),Ransomware (Attack),SQLi (Attack),Spoofing (Attack),Unauthorized Access (Attack),Virus (Attack),rootkit (Attack),Construction (Industry),"Finance, Insurance, Real Estate (Industry)",Manufacturing (Industry),Mining (Industry),N/A (Industry),Retail Trade (Industry),Services (Industry),Transportation & Public Utilities (Industry),Wholesale Trade (Industry),Canada (Region),Foreign (Region),US Mid Atlantic (Region),US Midwest (Region),US New England (Region),US Southeast (Region),US Southwest (Region),US West (Region)
0,HUMANA INC,HUM,10/12/2020 - 12/16/2020,2020-12-22 00:00:00,2021-02-25,,SSN | Name | DoB | Address | Phone Number | Email | Other,381.3999938964844,414.6600036621094,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,HERBALIFE NUTRITION LTD.,HLF,2020-10-01 00:00:00,,2021-02-23,,Name | Phone Number | Address | DOB | Membership ID | Username | Password ,45.27999877929688,46.29999923706055,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2,"Ultra Clean Holdings, Inc.",UCTT,,,2021-02-23,,SSN | Driver's License,48.369998931884766,55.09000015258789,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,KROGER CO,KR,,2021-01-23 00:00:00,2021-02-19,,Name | Email | Phone Number | Address | DOB | SSN | Other,33.84000015258789,34.689998626708984,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4,CINTAS CORP,CTAS,9/16/2020 - 9/20/2020,2020-09-20 00:00:00,2021-02-15,,Name | Bank Account,345.1000061035156,351.6000061035156,350.0799865722656,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,"Blueknight Energy Partners, L.P.",BKEP,,2021-01-12 00:00:00,2021-02-12,,Name | SSN | Bank Account | Other,2.119999885559082,3.119999885559082,3.1700000762939453,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6,SOUTH JERSEY INDUSTRIES INC,SJI,,,2021-02-11,,SSN | Account Number,23.479999542236328,28.799999237060547,24.6200008392334,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,"Globalstar, Inc.",GSAT,,,2021-02-10,,Account Number,2.0799999237060547,1.590000033378601,1.3300000429153442,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,WestRock Co,WRK,,2021-01-23 00:00:00,2021-02-08,,ND,42.720001220703125,53.18000030517578,52.790000915527344,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,CARVANA CO.,CVNA,,,2021-02-05,,Driver's License,284.5299987792969,269.989990234375,267.3299865722656,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,INDEPENDENT BANK CORP,INDB,,,2021-02-05,,Account Number,77.73999786376953,87.69999694824219,84.63999938964844,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,FORWARD AIR CORP,FWRD,2020-12-01 00:00:00,,2021-02-04,,ND,73.38999938964844,88.73999786376953,89.4000015258789,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12,"Tesla, Inc.",TSLA,,,2021-02-03,,Intellectual property,872.7899780273438,686.4400024414062,661.75,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,INTEL CORP,INTC,2020-09-29 00:00:00,,2021-02-03,,SSN | Other | Bank Account | DOB | Driver's License,58.0,61.2400016784668,64.55000305175781,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,"CarParts.com, Inc.",PRTS,06/21/2020 - 06/28/2020,2020-06-28 00:00:00,2021-02-01,,Name | Address | SSN | Driver's License,16.489999771118164,19.170000076293945,14.279999732971191,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15,UNITED STATES CELLULAR CORP,USM,,,2021-01-29,,Name | Addres | Phone Number | Other,31.86000061035156,29.770000457763672,35.630001068115234,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16,JOHNSON & JOHNSON,JNJ,2020-03-01 00:00:00,,2021-01-27,,Name|SSN|Other|Bank Account,170.47999572753906,158.4600067138672,164.92999267578125,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,"Petco Health & Wellness Company, Inc.",WOOF,2/11/2020 - 8/9/2020,2020-10-02 00:00:00,2021-01-25,30000,Name | Address | Email | Passwords | Credit Card,27.0,21.809999465942383,21.709999084472656,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,"National Western Life Group, Inc.",NWLI,8/7/2020 - 8/10/2020,2020-08-15 00:00:00,2021-01-25,,Name | Other,200.72000122070312,212.5,236.0399932861328,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,TORONTO DOMINION BANK,TD,9/14/2020 - 10/29/2020,2020-12-21 00:00:00,2021-01-22,,Bank Account | Credit Card | Debit Card,58.959999084472656,60.95000076293945,65.58000183105469,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,Walmart Inc.,WMT,,,2021-01-22,7000000,Name | Phone Number | Credit Card | Password | Other,144.85000610351562,137.69000244140625,132.3699951171875,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21,INTEL CORP,INTC,,,2021-01-22,,Earnings Data,62.459999084472656,60.709999084472656,65.62999725341797,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Clarus Corp,CLAR,2020-10-04 00:00:00,,2021-01-22,1825,SSN | Driver's License,15.710000038146973,17.719999313354492,16.639999389648438,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,BioNTech SE,BNTX,2020-12-09 00:00:00,,2021-01-19,,Intellectual Property,104.6999969482422,112.6500015258789,103.6500015258789,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,PFIZER INC,PFE,2020-12-09 00:00:00,,2021-01-19,,Intellectual Property,36.72999954223633,34.560001373291016,35.77000045776367,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,UNITED PARCEL SERVICE INC,UPS,2021-01-08 00:00:00,,2021-01-17,3000,ND,156.27999877929688,161.75,162.82000732421875,179.7100067138672,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,NORFOLK SOUTHERN CORP,NSC,2021-01-08 00:00:00,,2021-01-17,3000,ND,249.83999633789065,256.3999938964844,256.3900146484375,270.8599853515625,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
27,"SHIFT TECHNOLOGIES, INC.",SFT,2020-09-17 00:00:00,2020-09-18 00:00:00,2021-01-14,,ND,8.5,10.149999618530272,10.149999618530272,8.204999923706055,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
