Company name,Ticker,Region,SIC Code,Date of Breach,Date Became Aware of Breach,Date of Disclosure,Number of Records,Type of Info,Information,Attack,Stock Price (0 months DoD),Stock Price (1 months DoD),Stock Price (2 months DoD),Stock Price (3 months DoD),Stock Price (4 months DoD),Stock Price (5 months DoD),Stock Price (6 months DoD),Stock Price (7 months DoD),Stock Price (8 months DoD),Stock Price (9 months DoD),Stock Price (10 months DoD),Stock Price (11 months DoD),Stock Price (12 months DoD),median stock forecast,mean stock forecast,count stock forecast
HUMANA INC,HUM,US Mid Atlantic,6324.0,10/12/2020 - 12/16/2020,2020-12-22 00:00:00,2021-02-25,,Personal,SSN | Name | DoB | Address | Phone Number | Email | Other,Unauthorized Access,381.3999938964844,414.6600036621094,,,,,,,,,,,,,,0
HERBALIFE NUTRITION LTD.,HLF,Foreign,5122.0,2020-10-01 00:00:00,,2021-02-23,,Personal | Other,Name | Phone Number | Address | DOB | Membership ID | Username | Password ,Unauthorized Access,45.279998779296875,46.29999923706055,,,,,,,,,,,,,,0
"Ultra Clean Holdings, Inc.",UCTT,US West,3674.0,,,2021-02-23,,Personal,SSN | Driver's License,ND,48.369998931884766,55.09000015258789,,,,,,,,,,,,,,0
KROGER CO,KR,US Midwest,5411.0,,2021-01-23 00:00:00,2021-02-19,,Personal,Name | Email | Phone Number | Address | DOB | SSN | Other,Unauthorized Access,33.84000015258789,34.689998626708984,,,,,,,,,,,,,,0
CINTAS CORP,CTAS,US Midwest,2320.0,9/16/2020 - 9/20/2020,2020-09-20 00:00:00,2021-02-15,,Financial | Personal,Name | Bank Account,Unauthorized Access,345.1000061035156,351.6000061035156,350.0799865722656,,,,,,,,,,,,,0
"Blueknight Energy Partners, L.P.",BKEP,US Southwest,4610.0,,2021-01-12 00:00:00,2021-02-12,,Financial,Name | SSN | Bank Account | Other,ND,2.119999885559082,3.119999885559082,3.1700000762939453,,,,,,,,,,,,,0
SOUTH JERSEY INDUSTRIES INC,SJI,US Mid Atlantic,4924.0,,,2021-02-11,,Personal,SSN | Account Number,ND,23.479999542236328,28.799999237060547,24.6200008392334,,,,,,,,,,,,,0
"Globalstar, Inc.",GSAT,US Southeast,4899.0,,,2021-02-10,,Financial | Personal,Account Number,ND,2.0799999237060547,1.590000033378601,1.3300000429153442,,,,,,,,,,,,,0
WestRock Co,WRK,US Southeast,2650.0,,2021-01-23 00:00:00,2021-02-08,,ND,ND,Ransomware,42.720001220703125,53.18000030517578,52.790000915527344,,,,,,,,,,,,,0
CARVANA CO.,CVNA,US Southwest,5500.0,,,2021-02-05,,Personal,Driver's License,ND,284.5299987792969,269.989990234375,267.3299865722656,,,,,,,,,,,,,0
