,cik_str,ticker,title
0,320193,AAPL,Apple Inc.
1,789019,MSFT,MICROSOFT CORP
2,1018724,AMZN,AMAZON COM INC
3,1652044,GOOG,Alphabet Inc.
4,1293451,TCEHY,Tencent Holdings Ltd
5,1326801,FB,Facebook Inc
6,1577552,BABA,Alibaba Group Holding Ltd
7,1318605,TSLA,"Tesla, Inc."
8,1067983,BRK-A,BERKSHIRE HATHAWAY INC
9,1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
10,1403161,V,VISA INC.
11,19617,JPM,JPMORGAN CHASE & CO
12,200406,JNJ,JOHNSON & JOHNSON
13,104169,WMT,Walmart Inc.
14,1141391,MA,Mastercard Inc
15,884394,SPY,SPDR S&P 500 ETF TRUST
16,1744489,DIS,Walt Disney Co
17,824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
18,1045810,NVDA,NVIDIA CORP
19,731766,UNH,UNITEDHEALTH GROUP INC
20,70858,BAC,BANK OF AMERICA CORP /DE/
21,80424,PG,PROCTER & GAMBLE Co
22,1633917,PYPL,"PayPal Holdings, Inc."
23,1445468,IDCBY,Industrial & Commercial Bank of China
24,354950,HD,"HOME DEPOT, INC."
25,1166691,CMCSA,COMCAST CORP
26,50863,INTC,INTEL CORP
27,34088,XOM,EXXON MOBIL CORP
28,937966,ASML,ASML HOLDING NV
29,1065280,NFLX,NETFLIX INC
30,732712,VZ,VERIZON COMMUNICATIONS INC
31,217410,UL,UNILEVER PLC
32,21344,KO,COCA COLA CO
33,796343,ADBE,ADOBE INC.
34,320187,NKE,"NIKE, Inc."
35,1800,ABT,ABBOTT LABORATORIES
36,1737806,PDD,Pinduoduo Inc.
37,1445474,CICHY,China Construction Bank Corp
38,1094517,TM,TOYOTA MOTOR CORP/
39,732717,T,AT&T INC.
40,1495688,CIHKY,"China Merchants Bank Co., Ltd./ADR/"
41,811809,BHP,BHP Group Ltd
42,93410,CVX,CHEVRON CORP
43,1114448,NVS,NOVARTIS AG
44,1341439,ORCL,ORACLE CORP
45,1341439,ORCL,ORACLE CORP
46,59478,LLY,ELI LILLY & Co
47,78003,PFE,PFIZER INC
48,858877,CSCO,"CISCO SYSTEMS, INC."
49,1108524,CRM,"SALESFORCE.COM, INC."
50,1730168,AVGO,Broadcom Inc.
51,1551152,ABBV,AbbVie Inc.
